"genus","species","newmartin2019_dispersal_martin2019_dispersal","newsesync_flightpotential_sesync_dispersal"
"abax","carinatus",NA,NA
"abax","ovalis","ground",NA
"abax","parallelepipedus","ground",NA
"abax","parallelus",NA,NA
"acalymma","vittatum",NA,"2"
"acanthocinus","aedilis",NA,NA
"acanthocinus","griseus",NA,NA
"acmaeops","marginata",NA,NA
"acmaeops","septentrionis",NA,NA
"acmaeops","smaragdula",NA,NA
"acropyga","exsanguis",NA,NA
"acrotona","aterrima","flight",NA
"acrotona","obfuscata","flight",NA
"acrotona","parvula","flight",NA
"acupalpus","brunnipes",NA,NA
"acupalpus","dubius","flight",NA
"acupalpus","elegans","flight",NA
"acupalpus","exiguus",NA,NA
"acupalpus","flavicollis","flight",NA
"acupalpus","interstitialis",NA,NA
"acupalpus","luteatus","flight",NA
"acupalpus","maculatus","flight",NA
"acupalpus","meridianus","flight",NA
"acupalpus","parvulus","flight",NA
"acyrthosiphon","pisum","flight/wind","1"
"adalia","bipunctata","flight",NA
"adalia","decempunctata","flight",NA
"adelomyrmex","laevigatus",NA,NA
"adelomyrmex","sp.",NA,NA
"adelphocoris","lineolatus","flight",NA
"adelphocoris","quadripunctatus","flight",NA
"adelphocoris","seticornis","flight",NA
"adelphocoris","ticinensis",NA,NA
"aegomorphus","clavipes",NA,NA
"agapanthia","villosoviridescens",NA,NA
"agonum","afrum","ground",NA
"agonum","dolens",NA,NA
"agonum","duftschmidi","ground",NA
"agonum","ericeti",NA,NA
"agonum","fuliginosum",NA,NA
"agonum","gracile",NA,NA
"agonum","gracilipes",NA,NA
"agonum","hypocrita",NA,NA
"agonum","impressum",NA,NA
"agonum","longicorne",NA,NA
"agonum","lugens","flight",NA
"agonum","marginatum",NA,NA
"agonum","micans","flight",NA
"agonum","monachum",NA,NA
"agonum","muelleri","flight",NA
"agonum","munsteri",NA,NA
"agonum","nigrum","flight",NA
"agonum","pelidnum",NA,NA
"agonum","permoestum","flight",NA
"agonum","piceum",NA,NA
"agonum","scitulum",NA,NA
"agonum","sexpunctatum","flight",NA
"agonum","versutum",NA,NA
"agonum","viduum","flight",NA
"agonum","viridicupreum","flight",NA
"agyneta","","wind",NA
"agyneta","affinis","wind",NA
"agyneta","decora","wind",NA
"agyneta","fuscipalpa","wind",NA
"agyneta","mollis","wind",NA
"agyneta","rurestris","wind",NA
"agyneta","saxatilis","wind",NA
"agyneta","simplicitarsis","wind",NA
"aleochara","","flight",NA
"aleochara","bilineata","flight",NA
"aleochara","bipustulata","flight",NA
"aleochara","brevipennis","flight",NA
"aleochara","curtula","flight",NA
