"genus","species","newcarabids_trophiclevel_carabids_feeding","newmartin2019_agricultural_specialist_martin2019_feeding","newmartin2019_diet_breadth_martin2019_feeding","newmartin2019_diet_life_history_martin2019_feeding","newmartin2019_functional_group_martin2019_feeding","newsesync_finalfeeding_sesync_feeding","newsesync_trophic.level_sesync_feeding","newtamburini_host.plants.of.economic.concern_tamburini_feeding","newglobalants_diet_globalants_feeding","newarthropodtraits_feeding_guild_arthropodtraits_feeding","newarthropodtraits_feeding_guild_short_arthropodtraits_feeding","newarthropodtraits_feeding_mode_arthropodtraits_feeding","newemerystickytrap_diet_emerysticky_feeding","newemerystickytrap_dietbreadth_emerysticky_feeding","newemerystickytrap_trophiclevel_emerysticky_feeding","newarthropodtraits_feeding_specialization_arthropodtraits_feeding","newarthropodtraits_feeding_tissue_arthropodtraits_feeding","newcarabids_collembolehunter_carabids_feeding","newcarabids_visualhunter_carabids_feeding","newarthropodtraits_feeding_plant_part_arthropodtraits_feeding","newarthropodtraits_endophagous_lifestyle_arthropodtraits_feeding","newcarabids_isopodhunter_carabids_feeding","newcarabids_snailhunter_carabids_feeding","newemerypitfalltrap_dietbreadth_emerypit_feeding","newemerypitfalltrap_feedingtype_emerypit_feeding","newemerypitfalltrap_trophiclevel_emerypit_feeding","newemerypitfalltrap_huntingstrategy_emerypit_feeding"
"abax","carinatus","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","ovalis",NA,"no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelepipedus","Predator","no","generalist","same_diet","predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelus","Predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalymma","vittatum",NA,NA,NA,NA,NA,"Specialist","herbivore","Curcubits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","aedilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
