"genus","species","newcarabids_habitatpreference_carabids_habitat","newmartin2019_overwintering_habitat_martin2019_habitat","newmartin2019_stratum_martin2019_habitat","newsesync_crops_sesync_habitat","newsesync_finalhabitat_sesync_habitat","newsesync_overwinter.location_sesync_habitat","newtamburini_habitat.breadth_tamburini_habitat","newtamburini_host.breadth..n..host.families._tamburini_habitat","newjeppsson_larval.host.plants..nr.._jeppsson_habitat","newjeppsson_overwintering.stage..adult.larvae._jeppsson_habitat","newjeppsson_substrate.utilization.breadth..nr.._jeppsson_habitat","newarthropodtraits_stratum_use_arthropodtraits_habitat","newarthropodtraits_stratum_use_short_arthropodtraits_habitat","newemerystickytrap_habitat_emerysticky_habitat","newemerypitfalltrap_habitat_emerypit_habitat"
"abax","carinatus","5679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","ovalis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelepipedus","25679","natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelus","5679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalymma","vittatum",NA,NA,NA,"cucurbita moschata","Generalist","brush","Habitat generalist","1",NA,NA,NA,NA,NA,NA,NA
"acanthocinus","aedilis",NA,NA,NA,NA,NA,NA,NA,NA,"2","A","1",NA,NA,NA,NA
"acanthocinus","griseus",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","1",NA,NA,NA,NA
"acmaeops","marginata",NA,NA,NA,NA,NA,NA,NA,NA,"1","L","2",NA,NA,NA,NA
"acmaeops","septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"acmaeops","smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"acropyga","exsanguis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","aterrima",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","obfuscata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","parvula",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"acupalpus","brunnipes","347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","dubius","145","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","elegans","1","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","exiguus","345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","flavicollis","34589","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","interstitialis","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","luteatus","34","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","maculatus","1349","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","meridianus","1389","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","parvulus","13459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acyrthosiphon","pisum",NA,"natural margin crop","ground/veg","medicago sativa","crop","host_plant","Habitat generalist","1",NA,NA,NA,NA,NA,NA,NA
"adalia","bipunctata",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,"h","h","Canopy",NA
"adalia","decempunctata",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"adelomyrmex","laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","lineolatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"adelphocoris","quadripunctatus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"adelphocoris","seticornis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"adelphocoris","ticinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h","h",NA,NA
"aegomorphus","clavipes",NA,NA,NA,NA,NA,NA,NA,NA,"8","L","1",NA,NA,NA,NA
"agapanthia","villosoviridescens",NA,NA,NA,NA,NA,NA,NA,NA,"1","L","1",NA,NA,NA,NA
"agonum","afrum","13459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","dolens","345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","duftschmidi","45","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","ericeti","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","fuliginosum","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracile","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracilipes","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","hypocrita","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","impressum","345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","longicorne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","lugens","145","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","marginatum","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
