"genus","species","newsesync_country_sesync_invasive","newsesync_invasive_sesync_invasive","newtamburini_invasive.status_tamburini_invasive","newtamburini_study.area_tamburini_invasive","newglobalants_continent_globalants_invasive","newglobalants_invasive.to.political.region1_globalants_invasive","newglobalants_political.region1_globalants_invasive","newemerystickytrap_countryconfirmed_emerysticky_invasive","newemerystickytrap_nat_inv_un_emerysticky_invasive"
"abax","carinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","ovalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelepipedus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalymma","vittatum","united states","native","Native","North America",NA,NA,NA,NA,NA
"acanthocinus","aedilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acropyga","exsanguis",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"acrotona","aterrima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","obfuscata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrotona","parvula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","brunnipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","exiguus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","flavicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","interstitialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","luteatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","meridianus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acupalpus","parvulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acyrthosiphon","pisum","serbia","native","Native","Europe",NA,NA,NA,NA,NA
"adalia","bipunctata",NA,NA,NA,NA,NA,NA,NA,"UY","Nat"
"adalia","decempunctata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelomyrmex","laevigatus",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"adelomyrmex","sp.",NA,NA,NA,NA,"Not in paper","Native*","Not in paper",NA,NA
"adelphocoris","lineolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","quadripunctatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","seticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"adelphocoris","ticinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aegomorphus","clavipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agapanthia","villosoviridescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","afrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","dolens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","duftschmidi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","ericeti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","fuliginosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","gracilipes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","hypocrita",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","impressum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","longicorne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","lugens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","marginatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","micans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","monachum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","muelleri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","munsteri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","pelidnum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","permoestum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","piceum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","scitulum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","sexpunctatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","versutum",NA,NA,NA,NA,NA,NA,NA,NA,NA
