genus,species,country_sesync_invasive,invasive.status_tamburini_invasive,invasive_sesync_invasive,study.area_tamburini_invasive,continent_globalants_invasive,invasive.to.political.region1_globalants_invasive,political.region1_globalants_invasive,countryconfirmed_emerysticky_invasive,nat_inv_un_emerysticky_invasive,number_agree,final_answer
abax,ovalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abax,parallelepipedus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acalymma,vittatum,united states,Native,native,North America,NA,NA,NA,NA,NA,2,native
acanthocinus,aedilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acanthocinus,griseus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acmaeops,marginata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acmaeops,septentrionis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acmaeops,smaragdula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acropyga,exsanguis,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
acrotona,aterrima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acrotona,obfuscata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acrotona,parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,dubius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,elegans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,flavicollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,luteatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,maculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,meridianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupalpus,parvulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acyrthosiphon,pisum,serbia,Native,native,Europe,NA,NA,NA,NA,NA,2,native
adalia,decempunctata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adalia,bipunctata,NA,NA,NA,NA,NA,NA,NA,UY,Nat,1,native
adelomyrmex,laevigatus,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
adelomyrmex,sp.,NA,NA,NA,NA,Not in paper,Native*,Not in paper,NA,NA,1,native
adelphocoris,lineolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adelphocoris,quadripunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adelphocoris,seticornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adelphocoris,ticinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aegomorphus,clavipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agapanthia,villosoviridescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,afrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,duftschmidi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,lugens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,micans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,muelleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,nigrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,permoestum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,sexpunctatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,viduum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonum,viridicupreum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,decora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,fuscipalpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,mollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,rurestris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,saxatilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agyneta,simplicitarsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,bilineata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,bipustulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,brevipennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,curtula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,laevigata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,lygaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,ruficornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,sparsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleochara,tristis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allodynerus,rossii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
