scope,species,question,answer,unknown,known,question last word
Predation and movement ability - Body size,abax ovalis,are abax ovalis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,abax ovalis,are abax ovalis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,abax ovalis,are abax ovalis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,abax parallelepipedus,are abax parallelepipedus large insects?,"yes (2), they are large insects 1722 mm (1)",0,1,insects?
Predation and movement ability - Body size,abax parallelepipedus,are abax parallelepipedus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,abax parallelepipedus,are abax parallelepipedus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,abax parallelepipedus,are acalymma vittatum large insects?,316 to 14 inches long 15inch 5 mm long 14inch long 7 mm 2 cm in length (0),0,1,insects?
Predation and movement ability - Body size,acalymma vittatum,are acalymma vittatum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,acalymma vittatum,are acalymma vittatum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,acrotona obfuscata,are acrotona obfuscata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,acrotona obfuscata,are acrotona obfuscata larger than competitors?,unknown (2),1,0,competitors?
Predation and movement ability - Body size,acrotona obfuscata,are acrotona obfuscata larger than prey?,unknown (3),1,0,prey?
Predation and movement ability - Body size,acupalpus meridianus,are acupalpus meridianus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,acupalpus meridianus,are acupalpus meridianus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,acupalpus meridianus,are acupalpus meridianus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,acupalpus parvulus,are acupalpus parvulus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,acupalpus parvulus,are acupalpus parvulus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,acupalpus parvulus,are acupalpus parvulus larger than prey?,unknown (25),1,0,prey?
