"genus","species","newcarabids_carabidid_carabids_other","newcarabids_carabididref_carabids_other","newcarabids_countries_carabids_other","newcarabids_distributionarea_carabids_other","newcarabids_distributioncenterlatitude_carabids_other","newcarabids_distributioncenterlongitude_carabids_other","newcarabids_eyesize_carabids_other","newcarabids_hindwingdevelopment_carabids_other","newcarabids_isactive_carabids_other","newcarabids_range_carabids_other","newcarabids_referenceid_carabids_other","newcarabids_region_carabids_other","newcarabids_subfamily_carabids_other","newcarabids_subgenus_carabids_other","newcarabids_tribe_carabids_other","newcarabids_yearofdesc_carabids_other","newmartin2019_family_martin2019_other","newmartin2019_speciesid_martin2019_other","newmartin2019_taxonomic_group_martin2019_other","newsesync_aphidalter_sesync_other","newsesync_code_sesync_other","newsesync_overwinter_sesync_other","newsesync_realm_sesync_other","newsesync_region_sesync_other","newsesync_speciesid_sesync_other","newsesync_system_sesync_other","newtamburini_n..studies_tamburini_other","newtamburini_order_tamburini_other","newtamburini_specieslatin_tamburini_other","newjeppsson_adult.activity.period..days._jeppsson_other","newjeppsson_generation.time..years._jeppsson_other","newjeppsson_red.list.classification..2010._jeppsson_other","newjeppsson_species.name_jeppsson_other","newglobalants_activity_globalants_other","newglobalants_caste_globalants_other","newglobalants_colony.type_globalants_other","newarthropodtraits_family_arthropodtraits_other","newarthropodtraits_order_arthropodtraits_other","newarthropodtraits_speciesid_arthropodtraits_other","newarthropodtraits_suborder_arthropodtraits_other","newcarabids_hibernation_carabids_other","newcarabids_subtribe_carabids_other","newsesync_host_alternating_sesync_other","newemerystickytrap_family_emerysticky_other","newemerystickytrap_functionalgroup_emerysticky_other","newemerystickytrap_location_emerysticky_other","newemerystickytrap_number_emerysticky_other","newemerystickytrap_order_emerysticky_other","newemerystickytrap_presence_emerysticky_other","newcarabids_reprospring_carabids_other","newcarabids_reprosummer_carabids_other","newcarabids_activityend_carabids_other","newcarabids_activitystart_carabids_other","newemerystickytrap_moreinfo_emerysticky_other","newcarabids_reproautumn_carabids_other","newemerypitfalltrap_bnhm_id_emerypit_other","newemerypitfalltrap_extrainfo_emerypit_other","newemerypitfalltrap_family_emerypit_other","newemerypitfalltrap_functionalgroup_emerypit_other","newemerypitfalltrap_idverified_emerypit_other","newemerypitfalltrap_number_emerypit_other","newemerypitfalltrap_order_emerypit_other","newemerypitfalltrap_sizecat_emerypit_other","newemerypitfalltrap_guild_emerypit_other","newemerypitfalltrap_subtribe_emerypit_other","newemerypitfalltrap_tribe_emerypit_other","newemerypitfalltrap_class_emerypit_other"
"abax","carinatus","29","29","ALAUBEBHBUCRCZFRGEHUITMDNLPLROSKSLSZUKYUTR","350","51","9","10 - 25 %","shortwinged","1","widespread","29","Central Europe","Harpalinae","Abacopercus","Pterostichini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","ovalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carabidae","Abax ovalis","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelepipedus","36","36","AUBEBHBUCRCZDEENFRGBGEHUIRITLALSMDNLNRPLSKSLSPSVSZUKYU","350","51","9","25 - 50 %","shortwinged","1","widespread","36","Central Europe","Harpalinae","Abax","Pterostichini","1783","Carabidae","Abax parallelepipedus","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelus","37","37","AUBEBHBUCRCZFRGBGEHUITLSMDNLPLROSKSLSZUKYU","350","51","9","10 - 25 %","shortwinged","1","widespread","37","Central Europe","Harpalinae","Abax","Pterostichini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalymma","vittatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","adle01","adult","Nearctic","western ma","acalymma vittatum","annual","1","Coleoptera","Acalymma vittatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","aedilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149","1","0","Acanthocinus aedilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","1","1","Acanthocinus griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","3","3","Acmaeops marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","3","1","Acmaeops septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","3","5","Acmaeops smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
