"genus","species","newcarabids_author_carabids_source","newcarabids_comment_carabids_source","newcarabids_referencebodysize_carabids_source","newcarabids_referenceclassification_carabids_source","newcarabids_referencedistribution_carabids_source","newcarabids_referenceeyesize_carabids_source","newcarabids_referencehabitatpreference_carabids_source","newcarabids_referencehwd_carabids_source","newcarabids_referencetrophiclevel_carabids_source","newmartin2019_authority_martin2019_source","newtamburini_source.of.pest.trait.information_tamburini_source","newglobalants_contributor_globalants_source","newarthropodtraits_author_arthropodtraits_source","newcarabids_referencehibernation_carabids_source","newcarabids_referencehuntingabilities_carabids_source","newsesync_citation_sesync_source","newemerystickytrap_literature_emerysticky_source","newemerystickytrap_litforsize_emerysticky_source","newcarabids_referenceactivitytime_carabids_source","newcarabids_referencereproduction_carabids_source","newemerypitfalltrap_literature_emerypit_source"
"abax","carinatus","Duftschmid","Lindroth 1985/86: 402 Turin 2000: 531 autumn breeder","Freude et al. 2006: 249","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 249","GAC Ed. 2009","Turin 2000: 340","Freude et al. 2006: 249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","ovalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duftschmid 1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelepipedus","Piller & Mitterpacher","Lindroth 1985/86: 326 Freude et al. 2006: 338","Chatenet 2005: 405","Löbl & Smetana 2003","Löbl & Smetana 2003","Chatenet 2005: 405","GAC Ed. 2009","Chatenet 2005: 405","Chatenet 2005: 405","Dejean 1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abax","parallelus","Duftschmid","Freude et al. 2006: 206 Ortuno & Toribio 2005: 41 hygrophil","Freude et al. 2006: 250 Chatenet 2005: 407","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 250","GAC Ed. 2009","Turin 2000: 344","Freude et al. 2006: 250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalymma","vittatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ellers-Kirk & Fleischer 2006 Lewis et al. 1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","aedilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acanthocinus","griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","septentrionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acmaeops","smaragdula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
