"","carabidid_carabids_other","subfamily_carabids_other","tribe_carabids_other","subtribe_carabids_other","genus","subgenus_carabids_other","species","author_carabids_source","yearofdesc_carabids_other","region_carabids_other","range_carabids_other","countries_carabids_other","hindwingdevelopment_carabids_other","maxsize_carabids_body","minsize_carabids_body","eyesize_carabids_other","trophiclevel_carabids_feeding","visualhunter_carabids_feeding","snailhunter_carabids_feeding","collembolehunter_carabids_feeding","isopodhunter_carabids_feeding","habitatpreference_carabids_habitat","hibernation_carabids_other","activitystart_carabids_other","activityend_carabids_other","reprospring_carabids_other","reprosummer_carabids_other","reproautumn_carabids_other","reprowinter_carabids_other","comment_carabids_source","isactive_carabids_other","distributionarea_carabids_other","distributioncenterlatitude_carabids_other","distributioncenterlongitude_carabids_other","referenceid_carabids_other","carabididref_carabids_other","referenceclassification_carabids_source","referencedistribution_carabids_source","referencebodysize_carabids_source","referencehwd_carabids_source","referenceeyesize_carabids_source","referencetrophiclevel_carabids_source","referencehuntingabilities_carabids_source","referencehabitatpreference_carabids_source","referencehibernation_carabids_source","referenceactivitytime_carabids_source","referencereproduction_carabids_source","x"
"1",29,"Harpalinae","Pterostichini","","abax","Abacopercus","carinatus","Duftschmid",1812,"Central Europe","widespread","AL,AU,BE,BH,BU,CR,CZ,FR,GE,HU,IT,MD,NL,PL,RO,SK,SL,SZ,UK,YU,TR","shortwinged",18,13,"10 - 25 %","Predator","","","","","5,6,7,9","","","","","","",NA,"Lindroth (1985/86): 402, Turin (2000): 531, autumn breeder",1,350,51,9,29,29,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 249","Turin (2000): 340","Freude et al. (2006): 249","Freude et al. (2006): 249","","GAC, Ed. (2009)","","","",NA
"2",36,"Harpalinae","Pterostichini","","abax","Abax","parallelepipedus","Piller & Mitterpacher",1783,"Central Europe","widespread","AU,BE,BH,BU,CR,CZ,DE,EN,FR,GB,GE,HU,IR,IT,LA,LS,MD,NL,NR,PL,SK,SL,SP,SV,SZ,UK,YU","shortwinged",22,16,"25 - 50 %","Predator","","","","","2,5,6,7,9","","","","","","",NA,"Lindroth (1985/86): 326, Freude et al. (2006): 338",1,350,51,9,36,36,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Chatenet (2005): 405","Chatenet (2005): 405","Chatenet (2005): 405","Chatenet (2005): 405","","GAC, Ed. (2009)","","","",NA
"3",37,"Harpalinae","Pterostichini","","abax","Abax","parallelus","Duftschmid",1812,"Central Europe","widespread","AU,BE,BH,BU,CR,CZ,FR,GB,GE,HU,IT,LS,MD,NL,PL,RO,SK,SL,SZ,UK,YU","shortwinged",18,13,"10 - 25 %","Predator","","","","","5,6,7,9","","","","","","",NA,"Freude et al. (2006): 206, Ortuno & Toribio (2005): 41, hygrophil",1,350,51,9,37,37,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 250, Chatenet (2005): 407","Turin (2000): 344,","Freude et al. (2006): 250","Freude et al. (2006): 250","","GAC, Ed. (2009)","","","",NA
"4",84,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","brunnipes","Sturm",1825,"Central Europe","widespread","AU,AZ,BE,BU,BY,CR,CZ,FR,GB,GE,GG,GR,HU,IT,LT,MA,MD,NL,NR,PL,PT,RO,SK,SP,ST,SV,SZ,TR,UK,YU,AG,MO,TU,TR","winged",4,3,"25 - 50 %","Omnivore","","","","","3,4,7","Imago","","","","","",NA,"Lindroth (1985/86): 87, Bauer (1974)",1,350,51,9,84,84,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 402","Lindroth (1985/86): 387","Freude et al. (2006): 402","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"5",86,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","dubius","Schilsky",1888,"Central Europe","widespread","AZ,BE,CZ,DE,EN,FR,GB,GE,HU,IR,IT,LA,LU,MD,NL,PL,PT,SK,SP,SV,SZ,AG,MO","winged",3,2,"25 - 50 %","Omnivore","","","","","1,4,5","Imago","","","","","",NA,"Freude et al. (2006): 85, Bonavita et al. (2003): 394",1,350,51,9,86,86,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 406","Lindroth (1985/86): 390","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"6",87,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","elegans","Dejean",1829,"Central Europe","widespread","AB,AL,AR,AU,BU,CR,CT,CZ,FR,GB,GE,GG,GR,HU,IT,MA,MC,MD,NL,PL,PT,RO,SK,SL,SP,ST,TR,UK,YU,AG,CI,EG,LB,MO,TU,AF,CY,IN,IQ,IS,JO,KI,KZ,LE,TD,TM,TR,UZ,WS","winged",4,3,"25 - 50 %","Omnivore","","","","","1","Imago","","","","","",NA,"Lindroth (1985/86): 411, Freude et al. (2006): 427",1,350,51,9,87,87,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Antoine (1959): 451","Jeannel (1942a): 717","Antoine (1959): 451","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"7",88,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","exiguus","Dejean",1829,"Central Europe","widespread","AB,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,FI,FR,GB,GE,GG,GR,HU,IT,LA,LU,MD,NL,NT,PL,RO,SK,SL,ST,SV,SZ,KZ,WS","winged",2,2,"25 - 50 %","Omnivore","","","","","3,4,5","Imago","","","","","",NA,"Lindroth (1985/86): 427, Freude et al. (2006): 455, adults hibernate under bark, river banks, marshy lake shores, spring breeder",1,350,51,9,88,88,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth(1985/86): 390","Lindroth(1985/86): 390","Lindroth(1985/86)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"8",90,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","flavicollis","Sturm",1825,"Central Europe","widespread","AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IT,LA,LT,LS,LU,MD,NL,NR,NT,PL,RO,SK,SL,SP,ST,SV,SZ,TR,UK,YU,KZ,TR,WS","winged",4,2,"25 - 50 %","Omnivore","","","","","3,4,5,8,9","Imago","","","","","",NA,"Lindroth (1985/86): 252, Freude et al. (2006): 244, hygrophilous, muddy soil, eutrophic lakes, spring breeder exhibiting brood care",1,350,51,9,90,90,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 402","Lindroth (1985/86): 386","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"9",96,"Harpalinae","Harpalini","Stenolophina","acupalpus","Ancylostria","interstitialis","Reitter",1884,"Central Europe","widespread","AR,AU,BH,BU,CR,CZ,EN,FR,GE,GG,GR,HU,IT,MD,RO,SK,ST,UK,YU,TR","winged",3,2,"25 - 50 %","Omnivore","","","","","7,9","Imago","","","","","",NA,"Turin (2000): 333, Freude et al (2006).: 243, wet habitats, lakes, rivers, wutrophic fens, spring breeder",1,350,51,9,96,96,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 401","Jeannel (1942a): 715","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
"10",101,"Harpalinae","Harpalini","Stenolophina","acupalpus","Acupalpus","luteatus","Duftschmid",1812,"Central Europe","widespread","AB,AL,AU,BH,BU,CR,CZ,FR,GE,GG,GR,HU,IT,MC,MD,PL,RO,SK,SL,SP,ST,SZ,TR,UK,YU,AG,MO,TU,IN,IS,KZ,TD,TR","winged",3,2,"25 - 50 %","Omnivore","","","","","3,4","Imago","","","","","",NA,"Lindroth (1985/86): 119, Jeannel (1941): 312, Freude et al. (2006): 113",1,350,51,9,101,101,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Antoine (1959): 452","Antoine (1959): 452","Freude et al. (2006)","Freude et al. (2006)","","GAC, Ed. (2009)","Freude et al. (2006)","","",NA
