presence_emerysticky_other,subclase_emerysticky_other,order_emerysticky_other,superfamily_emerysticky_other,family_emerysticky_other,subfamily_emerysticky_other,tribe_emerysticky_other,genus,species,number_emerysticky_other,location_emerysticky_other,dietbreadth_emerysticky_feeding,trophiclevel_emerysticky_feeding,functionalgroup_emerysticky_other,habitat_emerysticky_habitat,diet_emerysticky_feeding,moreinfo_emerysticky_other,nat_inv_un_emerysticky_invasive,countryconfirmed_emerysticky_invasive,literature_emerysticky_source,size_mm.min._emerysticky_body,size_mm.largestifrange._emerysticky_body,onesize_mm_emerysticky_body,litforsize_emerysticky_source
had,NA,Coleoptera,NA,Coccinellidae,,,adalia,bipunctata,1,K3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,3.5,5.5,4.5,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,adalia,bipunctata,1,I3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,3.5,5.5,4.5,coccinellidae.cl
had,NA,Hymenoptera,NA,Brachonidae,,,aphidius,,1,C4,Specialist,Predator,CanopyPredator,Canopy,aphids,"back end of abdomen, wing veination",Parasitoid,,,NA,NA,NA,
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,argentinica,1,C1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,BR,Gordon2014,3.4,3.7,3.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,trimaculata,1,K2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,BR,Gordon2014,1.6,2.6,2.1,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,argentinica,1,K1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,BR,Gordon2014,3.4,3.7,3.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,argentinica,1,F1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,BR,Gordon2014,3.4,3.7,3.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,sellata,1,E4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,BR,Gordon2014,4.2,5,4.6,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,sellata,1,J2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,AR,Gordon2014,4.2,5,4.6,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,sellata,1,E3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Gordon2014,4.2,5,4.6,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,sellata,1,H2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Gordon2014,4.2,5,4.6,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,sellata,1,C2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,AR,Gordon2014,4.2,5,4.6,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,brachiacantha,trimaculata,1,I4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Gordon2014,1.6,2.6,2.1,coccinellidae.cl
had,NA,Neuroptera,NA,Chrysopidae,,,chrysopa,,1,I3,Generalist,Predator,CanopyPredator,Canopy,AphidsMites,,,,,NA,NA,15,
