genus,species,invasive.to.political.region1_globalants_invasive,contributor_globalants_source,caste_globalants_other,whole.body.length..mm._globalants_body,colony.type_globalants_other,activity_globalants_other,diet_globalants_feeding,political.region1_globalants_invasive,continent_globalants_invasive
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
acropyga,exsanguis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Sugar feeder + generalist (4),Not in paper,Not in paper
adelomyrmex,sp.,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
adelomyrmex,laevigatus,Native*,"Donoso, David",Worker,2.3,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,paripungens,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,rectangularis,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,90,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,myops,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,armstrongi,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,cato,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,cato,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,4.65,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,5,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,diegensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
anochetus,altisquamis,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
anochetus,risii,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
