species.name_jeppsson_other,red.list.classification..2010._jeppsson_other,adult.activity.period..days._jeppsson_other,body.size..mm._jeppsson_body,generation.time..years._jeppsson_other,larval.host.plants..nr.._jeppsson_habitat,overwintering.stage..adult.larvae._jeppsson_habitat,substrate.utilization.breadth..nr.._jeppsson_habitat,genus,species
Acanthocinus aedilis,0,149,16,1,2,A,1,acanthocinus,aedilis
Acanthocinus griseus,1,46,10.5,1,2,L,1,acanthocinus,griseus
Acmaeops marginata,3,73,9,3,1,L,2,acmaeops,marginata
Acmaeops septentrionis,1,47,8.5,3,2,L,2,acmaeops,septentrionis
Acmaeops smaragdula,5,64,9.5,3,2,L,2,acmaeops,smaragdula
Aegomorphus clavipes,1,80,12.5,2,8,L,1,aegomorphus,clavipes
Agapanthia villosoviridescens,0,65,16,1,1,L,1,agapanthia,villosoviridescens
Alosterna tabacicolor,0,56,8,2,16,L,2,alosterna,tabacicolor
Anaesthetis testacea,2,56,7.5,2,1,L,1,anaesthetis,testacea
Anaglyptus mysticus,1,73,12,3,7,A,2,anaglyptus,mysticus
Anastrangalia reyi,0,56,12.5,2,2,L,2,anastrangalia,reyi
Anastrangalia sanguinolenta,0,58,11,2,2,L,2,anastrangalia,sanguinolenta
Anoplodera sexguttata,1,82,9.5,2,3,L,2,anoplodera,sexguttata
Arhopalus rusticus,0,69,18.5,2,2,L,2,arhopalus,rusticus
Arhopalus tristis,3,17,18,2,2,L,2,arhopalus,tristis
Aromia moschata,0,66,27,3,4,L,2,aromia,moschata
Asemum striatum,0,70,16,2,2,L,2,asemum,striatum
Asemum tenuicorne,3,22,14.5,2,1,L,2,asemum,tenuicorne
Brachyta interrogationis,0,55,14,1,1,L,1,brachyta,interrogationis
Callidium aeneum,1,99.5,12,2,2,L,2,callidium,aeneum
Callidium coriaceum,0,135,11,2,2,L,2,callidium,coriaceum
Callidium violaceum,0,69,12,2,2,L,2,callidium,violaceum
Cerambyx cerdo,4,80,46.5,4,1,A,2,cerambyx,cerdo
Cerambyx scopolii,1,61,22.5,3,6,A,1,cerambyx,scopolii
Chlorophorus herbstii,2,109,11.5,2,4,L,1,chlorophorus,herbstii
Clytus arietis,0,49,10.5,2,7,L,2,clytus,arietis
