speciesid_martin2019_other,authority_martin2019_source,family_martin2019_other,taxonomic_group_martin2019_other,functional_group_martin2019_feeding,diet_breadth_martin2019_feeding,agricultural_specialist_martin2019_feeding,diet_life_history_martin2019_feeding,overwintering_habitat_martin2019_habitat,dispersal_martin2019_dispersal,stratum_martin2019_habitat,genus,species,
Passaloecus,"Shuckard, 1837",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,,
Passaloecus corniger,"Shuckard, 1837",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,corniger,
Passaloecus eremita,"Kohl, 1893",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,eremita,
Passaloecus gracilis,"(Curtis, 1834)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,gracilis,
Passaloecus insignis,"(Linden, 1829)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,insignis,
Passaloecus turionum,"Dahlbom, 1844",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,passaloecus,turionum,
Pemphredon inornata,"(Say, 1824)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,inornata,
Pemphredon lugubris,"(Fabricius, 1793)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,pemphredon,lugubris,
Psenulus fuscipennis,"(Dahlbom, 1843)",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,psenulus,fuscipennis,
Stigmus pendulus,"Panzer, 1804",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,stigmus,pendulus,
Trypoxylon,"Latreille, 1796",Crabronidae,aculeate wasp,predator,generalist,no,same_diet,"natural, margin",flight,aerial,trypoxylon,,
